state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
WV,1993,72968665236934,0,11141010,158242271186,0,0,0,74749164,0
WY,1993,3950709266381,0,7874270,3655402071,0,0,0,40771354,0
AK,1994,502866562644,0,13454070,34011750,0,16282138142,0,5966516,0
AL,1994,63304075244984,0,114291200,1248034328383,20479759,68003723102,0,100764257,0
AR,1994,1985211899613,0,34626410,31253270,13923701,343521532559,0,42032148,0
AZ,1994,38343130152170,0,7365425304437,24835350,23170894,114905,0,71934496,0
CA,1994,32716913411141,13660402,23012615934849,944318002959314,33752237,26468404223531,486318,186191991,3387128
CO,1994,3163658310220,0,1544037111867,23207420,0,284620,0,35651911,0
CT,1994,36227763543562,0,4811622795,18985850,20159938,14700990,0,31178917,0
DC,1994,274252,0,0,0,0,0,0,274252,0
DE,1994,49494032041601,0,0,2130417100885,0,0,0,9230276,0
FL,1994,6346510833897384,0,2744740,2615192934879,26682107,31771872412436,0,158146846,0
GA,1994,65698752998279,0,4331435578456,6339510,28927090,585713129875,0,104356409,0
HI,1994,13267427640913,185318,1394260,65719,0,730124310,0,10108902,20350
IA,1994,27450892101790,0,10710230,3764850,4107383,5928595,0,33167006,53
ID,1994,3803865,0,79161530,1590610,0,12210516132,0,8726797,0
IL,1994,629984131243456,0,1206330,3733054259174,72654499,289919147,0,141299295,0
IN,1994,102921426366082,0,4068670,15091711941518,0,369930,0,107182057,0
KS,1994,2648875588598,0,98540,25036050,8529002,0,0,37619869,55
KY,1994,79897442154819,0,40135900,311830,0,0,0,84097034,0
LA,1994,201634122320393,0,9719780,385115851335124,12778635,928632534405,0,79385961,0
MA,1994,1032014710098641,0,937917646096,113196760,3858569,1933887116323,0,37939064,0
MD,1994,256247584275226,0,20095360,1172042501762,11235408,352064168822,0,45339618,0
ME,1994,6769201872338,0,35107670,92673928,6631984,5124983238448,0,16456150,0
MI,1994,69771616825523,0,1660268811063,104365494634,14144281,5432021717072,0,98307389,0
MN,1994,28125703607700,0,11387330,6568570,12223620,620867484652,0,43897655,39523
MO,1994,48885619745215,0,191629372157,3893020,10006491,69150,0,61877678,0
MS,1994,89469741124155,0,0,72233840,9614699,1761286,0,28670498,0
MT,1994,1680938920122,0,81495070,732260,0,100605,0,25152849,0
NC,1994,58124390452234,0,7192276380819,3102420,32346007,450251716892,0,100828662,0
ND,1994,2718108760860,0,18564610,5543779,0,135830,0,29155825,0
NE,1994,1403946718201,0,13118830,2589180,6345330,93320,0,21983131,0
NH,1994,31816541420578,0,14613270,1145870,6203747,153844926762,0,13462499,0
NJ,1994,56722112356728,0,15083166734,17191828101509,22129335,11353820,0,48435342,0
NM,1994,2675234925696,0,2128900,33889370,0,108020,0,30390674,0
NV,1994,15324714167680,1494930,18758890,56296260,0,0,0,24517727,0
NY,1994,2329065612030378,0,277912571145844,3222992994206,29231434,1904068603488,0,126029572,0
OH,1994,119169558424488,0,1917710,371591144300,10952247,28830480825,0,131763610,0
OK,1994,3050084742621,0,251464850013,1670888270396,0,271391,0,50058772,0
